x_mm,old_unwrapped_rad,new_unwrapped_rad,old_minus_new_rad,reference_candidate_rad,fitted_old_minus_new_rad,residual_rad
-4.959999999999999826e-02,3.436036307179586302e+00,1.565139400000000069e+00,1.870896907179586233e+00,-1.541979886314154768e+01,1.580617656695523454e+00,-8.733779155445375864e-07
-4.954999999999999682e-02,3.467032307179586326e+00,1.565138200000000035e+00,1.901894107179586291e+00,-1.538880196036875603e+01,1.580608594072269835e+00,-1.825919579756529743e-06
-4.950000000000000233e-02,3.497998307179586153e+00,1.565137000000000000e+00,1.932861307179586152e+00,-1.535783601634506468e+01,1.580599229613161016e+00,-1.818463920111312859e-06
-4.945000000000000090e-02,3.528933307179586087e+00,1.565135799999999966e+00,1.963797507179586121e+00,-1.532690103198080500e+01,1.580589565554593845e+00,-1.850100560751855028e-06
-4.939999999999999947e-02,3.559837307179586130e+00,1.565134599999999931e+00,1.994702707179586199e+00,-1.529599700818561203e+01,1.580579604138425687e+00,-1.919919833781591478e-06
-4.934999999999999803e-02,3.590711307179586420e+00,1.565133400000000119e+00,2.025577907179586301e+00,-1.526512394586982246e+01,1.580569347611621156e+00,-1.027011365728469627e-06
-4.929999999999999660e-02,3.621553307179586234e+00,1.565132200000000084e+00,2.056421107179586372e+00,-1.523428184594167689e+01,1.580558798225907724e+00,-1.170466882971510358e-06
-4.925000000000000211e-02,3.652364307179586156e+00,1.565131000000000050e+00,2.087233307179586106e+00,-1.520347070930801792e+01,1.580547958237432216e+00,-1.349379499693270645e-06
-4.920000000000000068e-02,3.683144307179586185e+00,1.565129800000000015e+00,2.118014507179585948e+00,-1.517269053687639335e+01,1.580536829906425522e+00,-1.562841634772382804e-06
-4.914999999999999925e-02,3.713893307179586323e+00,1.565128599999999981e+00,2.148764707179586342e+00,-1.514194132955155325e+01,1.580525415496870423e+00,-1.809948500408609107e-06
-4.909999999999999781e-02,3.744612307179586264e+00,1.565127400000000168e+00,2.179484907179586095e+00,-1.511122308823894933e+01,1.580513717276175178e+00,-1.089794614106409654e-06
-4.905000000000000332e-02,3.775299307179586172e+00,1.565126200000000134e+00,2.210173107179586260e+00,-1.508053581384333341e+01,1.580501737514851790e+00,-1.401475179019229245e-06
-4.900000000000000189e-02,3.805955307179586189e+00,1.565125000000000099e+00,2.240830307179586089e+00,-1.504987950726597212e+01,1.580489478486200028e+00,-1.744088896415973977e-06
-4.895000000000000046e-02,3.836580307179586313e+00,1.565123800000000065e+00,2.271456507179586026e+00,-1.501925416941092095e+01,1.580476942465993240e+00,-2.116731673940108749e-06
-4.889999999999999902e-02,3.867175307179586241e+00,1.565122600000000030e+00,2.302052707179586211e+00,-1.498865980117874663e+01,1.580464131732173483e+00,-1.518502908304242283e-06
-4.884999999999999759e-02,3.897738307179586137e+00,1.565121399999999996e+00,2.332616907179586363e+00,-1.495809640347001768e+01,1.580451048564546213e+00,-1.948501998416674041e-06
-4.880000000000000310e-02,3.928271307179586280e+00,1.565120199999999961e+00,2.363151107179586319e+00,-1.492756397718460448e+01,1.580437695244485186e+00,-1.405829031408956098e-06
-4.875000000000000167e-02,3.958772307179586392e+00,1.565118999999999927e+00,2.393653307179586243e+00,-1.489706252322028313e+01,1.580424074054636252e+00,-1.889586197734161033e-06
-4.870000000000000023e-02,3.989243307179586306e+00,1.565117599999999998e+00,2.424125707179586087e+00,-1.486659204247622590e+01,1.580410187278630252e+00,-1.198874288732554305e-06
