x_mm,wrapped_rad,unwrapped_rad,poly4_fit_rad,poly4_residual_rad,poly6_fit_rad,poly6_residual_rad,higher_model_fit_rad,higher_model_residual_rad
5.050000000000000322e-02,1.565161999999999942e+00,1.565161999999999942e+00,1.565075430593661610e+00,8.656940633833265508e-05,1.565157404924127027e+00,4.595075872915188597e-06,1.566740746848122257e+00,-1.578746848122314361e-03
5.075000000000000344e-02,1.565169000000000032e+00,1.565169000000000032e+00,1.565082719823295276e+00,8.628017670475607304e-05,1.565162857871634339e+00,6.142128365693722003e-06,1.566741237367253348e+00,-1.572237367253315199e-03
5.099999999999999672e-02,1.565174999999999983e+00,1.565174999999999983e+00,1.565090044726560770e+00,8.495527343921338570e-05,1.565168342435136584e+00,6.657564863399301203e-06,1.566741735569429750e+00,-1.566735569429766883e-03
5.124999999999999695e-02,1.565182000000000073e+00,1.565182000000000073e+00,1.565097405298297772e+00,8.459470170230076747e-05,1.565173858679395735e+00,8.141320604337920486e-06,1.566742241531265734e+00,-1.560241531265660342e-03
5.149999999999999717e-02,1.565188000000000024e+00,1.565188000000000024e+00,1.565104801533319323e+00,8.319846668070063345e-05,1.565179406669374496e+00,8.593330625528139421e-06,1.566742755329769698e+00,-1.554755329769674788e-03
5.174999999999999739e-02,1.565194999999999892e+00,1.565194999999999892e+00,1.565112233426413368e+00,8.276657358652350638e-05,1.565184986470236073e+00,1.001352976381930659e-05,1.566743277042345950e+00,-1.548277042346057897e-03
5.199999999999999761e-02,1.565201000000000064e+00,1.565201000000000064e+00,1.565119700972342320e+00,8.129902765774410511e-05,1.565190598147340850e+00,1.040185265921422797e-05,1.566743806746794254e+00,-1.542806746794189721e-03
5.224999999999999784e-02,1.565207999999999933e+00,1.565207999999999933e+00,1.565127204165842389e+00,8.079583415754321152e-05,1.565196241766246166e+00,1.175823375376694457e-05,1.566744344521310728e+00,-1.536344521310795130e-03
5.249999999999999806e-02,1.565214000000000105e+00,1.565214000000000105e+00,1.565134743001624251e+00,7.925699837585398200e-05,1.565201917392703423e+00,1.208260729668175770e-05,1.566744890444487170e+00,-1.530890444487065238e-03
5.274999999999999828e-02,1.565220999999999973e+00,1.565220999999999973e+00,1.565142317474373046e+00,7.868252562692745755e-05,1.565207625092657429e+00,1.337490734254487279e-05,1.566745444595312176e+00,-1.524444595312202111e-03
5.299999999999999850e-02,1.565228000000000064e+00,1.565228000000000064e+00,1.565149927578748379e+00,7.807242125168478708e-05,1.565213364932243501e+00,1.463506775656320258e-05,1.566746007053171574e+00,-1.518007053171510634e-03
5.324999999999999872e-02,1.565234000000000014e+00,1.565234000000000014e+00,1.565157573309383654e+00,7.642669061636020444e-05,1.565219136977786363e+00,1.486302221365143339e-05,1.566746577897847992e+00,-1.512577897847977582e-03
5.349999999999999895e-02,1.565241000000000104e+00,1.565241000000000104e+00,1.565165254660886962e+00,7.574533911314240697e-05,1.565224941295797700e+00,1.605870420240407270e-05,1.566747157209521735e+00,-1.506157209521630236e-03
5.374999999999999917e-02,1.565247999999999973e+00,1.565247999999999973e+00,1.565172971627840637e+00,7.502837215933588766e-05,1.565230777952975938e+00,1.722204702403473675e-05,1.566747745068770792e+00,-1.499745068770819145e-03
5.399999999999999939e-02,1.565255000000000063e+00,1.565255000000000063e+00,1.565180724204801477e+00,7.427579519858618085e-05,1.565236647016202465e+00,1.835298379759819909e-05,1.566748341556571056e+00,-1.493341556570992879e-03
5.424999999999999961e-02,1.565261000000000013e+00,1.565261000000000013e+00,1.565188512386300301e+00,7.248761369971212787e-05,1.565242548552540747e+00,1.845144745926674545e-05,1.566748946754297878e+00,-1.487946754297864160e-03
5.449999999999999983e-02,1.565268000000000104e+00,1.565268000000000104e+00,1.565196336166842395e+00,7.166383315770907814e-05,1.565248482629235216e+00,1.951737076488768707e-05,1.566749560743723846e+00,-1.481560743723742135e-03
5.475000000000000006e-02,1.565274999999999972e+00,1.565274999999999972e+00,1.565204195540907506e+00,7.080445909246613212e-05,1.565254449313707719e+00,2.055068629225331733e-05,1.566750183607022118e+00,-1.475183607022145793e-03
5.500000000000000028e-02,1.565282000000000062e+00,1.565282000000000062e+00,1.565212090502949405e+00,6.990949705065752084e-05,1.565260448673557514e+00,2.155132644254820207e-05,1.566750815426763976e+00,-1.468815426763914189e-03
5.525000000000000050e-02,1.565288999999999930e+00,1.565288999999999930e+00,1.565220021047396326e+00,6.897895260360442649e-05,1.565266480776558389e+00,2.251922344154166922e-05,1.566751456285921718e+00,-1.462456285921787114e-03
5.550000000000000072e-02,1.565296000000000021e+00,1.565296000000000021e+00,1.565227987168650747e+00,6.801283134927338381e-05,1.565272545690656436e+00,2.345430934358461172e-05,1.566752106267866207e+00,-1.456106267866186244e-03
5.575000000000000094e-02,1.565303000000000111e+00,1.565303000000000111e+00,1.565235988861089611e+00,6.701113891049992333e-05,1.565278643483969390e+00,2.435651603072130911e-05,1.566752765456370433e+00,-1.449765456370322170e-03
5.600000000000000117e-02,1.565309999999999979e+00,1.565309999999999979e+00,1.565244026119064102e+00,6.597388093587674973e-05,1.565284774224784181e+00,2.522577521579805193e-05,1.566753433935606177e+00,-1.443433935606197593e-03
5.625000000000000139e-02,1.565317000000000069e+00,1.565317000000000069e+00,1.565252098936899650e+00,6.490106310041987570e-05,1.565290937981554276e+00,2.606201844579381088e-05,1.566754111790147785e+00,-1.437111790147715951e-03
5.650000000000000161e-02,1.565323999999999938e+00,1.565323999999999938e+00,1.565260207308896145e+00,6.379269110379226504e-05,1.565297134822899672e+00,2.686517710026592454e-05,1.566754799104970175e+00,-1.430799104970237323e-03
5.675000000000000183e-02,1.565331999999999946e+00,1.565331999999999946e+00,1.565268351229327726e+00,6.364877067221996754e-05,1.565303364817602683e+00,2.863518239726303705e-05,1.566755495965449940e+00,-1.423495965449994571e-03
5.700000000000000205e-02,1.565339000000000036e+00,1.565339000000000036e+00,1.565276530692442769e+00,6.246930755726687323e-05,1.565309628034608158e+00,2.937196539187780786e-05,1.566756202457366465e+00,-1.417202457366428803e-03
5.725000000000000228e-02,1.565345999999999904e+00,1.565345999999999904e+00,1.565284745692463897e+00,6.125430753600724643e-05,1.565315924543019932e+00,3.007545697997215939e-05,1.566756918666900367e+00,-1.410918666900462526e-03
5.750000000000000250e-02,1.565352999999999994e+00,1.565352999999999994e+00,1.565292996223588418e+00,6.000377641157683684e-05,1.565322254412100156e+00,3.074558789983861118e-05,1.566757644680635941e+00,-1.404644680635946941e-03
5.775000000000000272e-02,1.565360000000000085e+00,1.565360000000000085e+00,1.565301282279987438e+00,5.871772001264652374e-05,1.565328617711266190e+00,3.138228873389437013e-05,1.566758380585560273e+00,-1.398380585560188294e-03
5.800000000000000294e-02,1.565368000000000093e+00,1.565368000000000093e+00,1.565309603855806975e+00,5.839614419311800475e-05,1.565335014510090161e+00,3.298548990993133145e-05,1.566759126469063235e+00,-1.391126469063141968e-03
5.825000000000000316e-02,1.565374999999999961e+00,1.565374999999999961e+00,1.565317960945166842e+00,5.703905483311899616e-05,1.565341444878295185e+00,3.355512170477581435e-05,1.566759882418939265e+00,-1.384882418939303861e-03
5.850000000000000339e-02,1.565382000000000051e+00,1.565382000000000051e+00,1.565326353542161320e+00,5.564645783873167773e-05,1.565347908885755146e+00,3.409111424490518516e-05,1.566760648523386257e+00,-1.378648523386205582e-03
5.874999999999999667e-02,1.565390000000000059e+00,1.565390000000000059e+00,1.565334781640859152e+00,5.521835914090722497e-05,1.565354406602491588e+00,3.559339750847101413e-05,1.566761424871006669e+00,-1.371424871006610147e-03
