x_mm,wrapped_rad,unwrapped_rad,quadratic_fit_rad,quadratic_residual_rad,quartic_fit_rad,quartic_residual_rad
-4.649999999999999967e-02,-9.839174000000000531e-01,5.299267907179586068e+00,5.296746107773170564e+00,2.521799406415503597e-03,5.299264879203480660e+00,3.027976105407503837e-06
-4.644999999999999823e-02,-9.548415999999999570e-01,5.328343707179586275e+00,5.325881876906839452e+00,2.461830272746823312e-03,5.328340568356109586e+00,3.138823476689367453e-06
-4.639999999999999680e-02,-9.257967999999999753e-01,5.357388507179586590e+00,5.354986300388935305e+00,2.402206790651284507e-03,5.357385245539594720e+00,3.261639991869458299e-06
-4.635000000000000231e-02,-8.967831000000000552e-01,5.386402207179585844e+00,5.384059378219468783e+00,2.342828960117060433e-03,5.386398909885175001e+00,3.297294410842255274e-06
-4.630000000000000088e-02,-8.678002999999999689e-01,5.415385007179586374e+00,5.413101110398446991e+00,2.283896781139382881e-03,5.415381560525021953e+00,3.446654564420725819e-06
-4.624999999999999944e-02,-8.388486000000000553e-01,5.444336707179585844e+00,5.442111496925853942e+00,2.225210253731901844e-03,5.444333196592209489e+00,3.510587376354123990e-06
-4.619999999999999801e-02,-8.099279000000000339e-01,5.473257407179586309e+00,5.471090537801703846e+00,2.166869377882463255e-03,5.473253817220790296e+00,3.589958796013092979e-06
-4.614999999999999658e-02,-7.810382000000000158e-01,5.502147107179585994e+00,5.500038233025982493e+00,2.108874153603501611e-03,5.502143421545714119e+00,3.685633871874927081e-06
-4.610000000000000209e-02,-7.521795999999999482e-01,5.531005707179586395e+00,5.528954582598698764e+00,2.051124580887631055e-03,5.531002008702893491e+00,3.698476692903795993e-06
-4.605000000000000066e-02,-7.233519000000000476e-01,5.559833407179586295e+00,5.557839586519859765e+00,1.993820659726530664e-03,5.559829577829175307e+00,3.829350410988752174e-06
-4.599999999999999922e-02,-6.945552999999999866e-01,5.588630007179586023e+00,5.586693244789449508e+00,1.936762390136514966e-03,5.588626128062317733e+00,3.879117268290599441e-06
-4.594999999999999779e-02,-6.657897000000000398e-01,5.617395607179585859e+00,5.615515557407483982e+00,1.880049772101877181e-03,5.617391658541047050e+00,3.948638538808779685e-06
-4.590000000000000330e-02,-6.370550999999999853e-01,5.646130207179586691e+00,5.644306524373947198e+00,1.823682805639492699e-03,5.646126168404991930e+00,4.038774594761207481e-06
-4.585000000000000187e-02,-6.083515000000000450e-01,5.674833807179585854e+00,5.673066145688846262e+00,1.767661490739591557e-03,5.674829656794747379e+00,4.150384838474963090e-06
-4.580000000000000043e-02,-5.796790000000000553e-01,5.703506307179585733e+00,5.701794421352188280e+00,1.711885827397452431e-03,5.703502122851833889e+00,4.184327751843852639e-06
-4.574999999999999900e-02,-5.510374000000000105e-01,5.732147907179585999e+00,5.730491351363960817e+00,1.656555815625182504e-03,5.732143565718686773e+00,4.341460899226490255e-06
-4.569999999999999757e-02,-5.224269000000000274e-01,5.760758407179586094e+00,5.759156935724179860e+00,1.601471455406233702e-03,5.760753984538716566e+00,4.422640869528038365e-06
-4.565000000000000308e-02,-4.938474999999999948e-01,5.789337807179586015e+00,5.787791174432825869e+00,1.546632746760145949e-03,5.789333378456229084e+00,4.428723356930674981e-06
-4.560000000000000164e-02,-4.652990000000000181e-01,5.817886307179586325e+00,5.816394067489907727e+00,1.492239689678598324e-03,5.817881746616492933e+00,4.560563093392033807e-06
-4.555000000000000021e-02,-4.367815999999999921e-01,5.846403707179586462e+00,5.844965614895436090e+00,1.438092284150371825e-03,5.846399088165709301e+00,4.619013877160682569e-06
-4.549999999999999878e-02,-4.082953000000000277e-01,5.874890007179586426e+00,5.873505816649391420e+00,1.384190530195006374e-03,5.874885402250997757e+00,4.604928588669565670e-06
-4.544999999999999735e-02,-3.798399000000000081e-01,5.903345407179585891e+00,5.902014672751791480e+00,1.330734427794411090e-03,5.903340688020437099e+00,4.719159148791618463e-06
-4.540000000000000285e-02,-3.514155999999999946e-01,5.931769707179586071e+00,5.930492183202620282e+00,1.277523976965788677e-03,5.931764944623019176e+00,4.762556566895170818e-06
-4.535000000000000142e-02,-3.230222999999999844e-01,5.960163007179586359e+00,5.958938348001888485e+00,1.224659177697873247e-03,5.960158171208684408e+00,4.835970901950759071e-06
-4.529999999999999999e-02,-2.946599999999999775e-01,5.988525307179585866e+00,5.987353167149596089e+00,1.172140029989776622e-03,5.988520366928321792e+00,4.940251264073935999e-06
-4.524999999999999856e-02,-2.663287999999999767e-01,6.016856507179586089e+00,6.015736640645735989e+00,1.119866533850100154e-03,6.016851530933719161e+00,4.976245866927797579e-06
-4.519999999999999712e-02,-2.380286000000000068e-01,6.045156707179586419e+00,6.044088768490320618e+00,1.067938689265801600e-03,6.045151662377643120e+00,5.044801943299148661e-06
-4.515000000000000263e-02,-2.097594999999999876e-01,6.073425807179586577e+00,6.072409550683332213e+00,1.016256496254364095e-03,6.073420760413755559e+00,5.046765831018262816e-06
