x_mm,unwrapped_rad,sphere_fit_rad,sphere_residual_rad
-4.664999999999999702e-02,5.211854307179586421e+00,5.209131938598979161e+00,2.722368580607259503e-03
-4.660000000000000253e-02,5.241023307179585977e+00,5.238362333496167977e+00,2.660973683417999780e-03
-4.655000000000000110e-02,5.270161307179586530e+00,5.267561379301502811e+00,2.599927878083718724e-03
-4.649999999999999967e-02,5.299267907179586068e+00,5.296729075857721014e+00,2.538831321865053781e-03
-4.644999999999999823e-02,5.328343707179586275e+00,5.325865423322088787e+00,2.478283857497487475e-03
-4.639999999999999680e-02,5.357388507179586590e+00,5.354970421589763774e+00,2.418085589822815962e-03
-4.635000000000000231e-02,5.386402207179585844e+00,5.384044070765584777e+00,2.358136414001066328e-03
-4.630000000000000088e-02,5.415385007179586374e+00,5.413086370797131508e+00,2.298636382454866123e-03
-4.624999999999999944e-02,5.444336707179585844e+00,5.442097321684403965e+00,2.239385495181878127e-03
-4.619999999999999801e-02,5.473257407179586309e+00,5.471076923532244507e+00,2.180483647341802111e-03
-4.614999999999999658e-02,5.502147107179585994e+00,5.500025176235810775e+00,2.121930943775218736e-03
-4.610000000000000209e-02,5.531005707179586395e+00,5.528942079847524838e+00,2.063627332061557240e-03
-4.605000000000000066e-02,5.559833407179586295e+00,5.557827634419803431e+00,2.005772759782864512e-03
-4.599999999999999922e-02,5.588630007179586023e+00,5.586681839900229818e+00,1.948167279356205484e-03
-4.594999999999999779e-02,5.617395607179585859e+00,5.615504696341222513e+00,1.890910838363346613e-03
-4.590000000000000330e-02,5.646130207179586691e+00,5.644296203742781515e+00,1.834003436805176079e-03
-4.585000000000000187e-02,5.674833807179585854e+00,5.673056362052486534e+00,1.777445127099319677e-03
-4.580000000000000043e-02,5.703506307179585733e+00,5.701785171375178152e+00,1.721135804407580849e-03
-4.574999999999999900e-02,5.732147907179585999e+00,5.730482631658437853e+00,1.665275521148146254e-03
-4.569999999999999757e-02,5.760758407179586094e+00,5.759148742954682376e+00,1.609664224903717411e-03
-4.565000000000000308e-02,5.789337807179586015e+00,5.787783505263915274e+00,1.554301915670741607e-03
-4.560000000000000164e-02,5.817886307179586325e+00,5.816386918533709149e+00,1.499388645877175463e-03
-4.555000000000000021e-02,5.846403707179586462e+00,5.844958982816494952e+00,1.444724363091509645e-03
-4.549999999999999878e-02,5.874890007179586426e+00,5.873499698164685867e+00,1.390309014900559248e-03
-4.544999999999999735e-02,5.903345407179585891e+00,5.902009064525865156e+00,1.336342653720734575e-03
-4.540000000000000285e-02,5.931769707179586071e+00,5.930487081952449557e+00,1.282625227136513502e-03
-4.535000000000000142e-02,5.960163007179586359e+00,5.958933750392020556e+00,1.229256787565802256e-03
-4.529999999999999999e-02,5.988525307179585866e+00,5.987349069949420510e+00,1.176237230165355641e-03
-4.524999999999999856e-02,6.016856507179586089e+00,6.015733040572225576e+00,1.123466607360512626e-03
-4.519999999999999712e-02,6.045156707179586419e+00,6.044085662208017240e+00,1.071044971569179438e-03
-4.515000000000000263e-02,6.073425807179586577e+00,6.072406935014054596e+00,1.018872165531981011e-03
-4.510000000000000120e-02,6.101664007179586235e+00,6.100696858885500617e+00,9.671482940856179766e-04
-4.504999999999999977e-02,6.129871007179586329e+00,6.128955433874772041e+00,9.155733048142877806e-04
-4.499999999999999833e-02,6.158047107179585922e+00,6.157182659981870643e+00,8.644471977152790032e-04
-4.494999999999999690e-02,6.186192097179586291e+00,6.185378537206796423e+00,8.135599727898679134e-04
-4.490000000000000241e-02,6.214306067179586002e+00,6.213543065601969673e+00,7.630015776163290298e-04
-4.485000000000000098e-02,6.242388997179586063e+00,6.241676245114968324e+00,7.127520646177387675e-04
-4.479999999999999954e-02,6.270440887179586475e+00,6.269778075798214445e+00,6.628113813720304393e-04
-4.474999999999999811e-02,6.298461737179586351e+00,6.297848557651708035e+00,6.131795278783158665e-04
-4.469999999999999668e-02,6.326451537179586637e+00,6.325887690675447317e+00,5.638465041393203592e-04
-4.465000000000000219e-02,6.354410297179586387e+00,6.353895474869430515e+00,5.148223101558713211e-04
-4.460000000000000075e-02,6.382338017179586487e+00,6.381871910286083249e+00,4.661068935032375293e-04
-4.454999999999999932e-02,6.410234707179585989e+00,6.409816996872983452e+00,4.177103066025367184e-04
-4.449999999999999789e-02,6.438100307179586146e+00,6.437730734682551414e+00,3.695724970347313842e-04
-4.445000000000000340e-02,6.465934907179586411e+00,6.465613123714785360e+00,3.217834648010509113e-04
-4.440000000000000197e-02,6.493738407179586503e+00,6.493464163969687064e+00,2.742432098994385115e-04
-4.435000000000000053e-02,6.521510907179585814e+00,6.521283855499675042e+00,2.270516799107724637e-04
-4.429999999999999910e-02,6.549252407179586122e+00,6.549072198252329002e+00,1.802089272571194556e-04
-4.424999999999999767e-02,6.576962707179585976e+00,6.576829192227650722e+00,1.335149519352540892e-04
-4.420000000000000318e-02,6.604642107179586219e+00,6.604554837478060492e+00,8.726970152572732786e-05
-4.415000000000000174e-02,6.632290407179586289e+00,6.632249134055976825e+00,4.127312360946433500e-05
